accepted_name,registro_dep
Syngonium gentryanum,Huánuco
Xanthosoma brevispathaceum,Huánuco
Xanthosoma brevispathaceum,Junín
Xanthosoma fractum,Huánuco
Xanthosoma stenospathum,Huánuco
Xanthosoma stenospathum,San Martín
Dendropanax marginiferus,San Martín
Dendropanax weberbaueri,Huánuco
Dendropanax weberbaueri,Ucayali
Dendropanax williamsii,Cusco
Dendropanax williamsii,San Martín
Oreopanax apurimacensis,Apurímac
Oreopanax apurimacensis,Cusco
Oreopanax apurimacensis,Junín
Oreopanax aquifolius,Huánuco
Oreopanax candamoanus,Cajamarca
Oreopanax cissoides,Cajamarca
Oreopanax deinocephalus,Cajamarca
Oreopanax divulsus,Amazonas
Oreopanax gnaphalocephalus,Ayacucho
Oreopanax iodophyllus,Amazonas
Oreopanax iodophyllus,Huánuco
Oreopanax iodophyllus,San Martín
Oreopanax ischnolobus,Junín
Oreopanax klugii,Loreto
Oreopanax lechleri,Puno
Oreopanax mathewsii,Amazonas
Oreopanax pariahuancae,Junín
Oreopanax raimondii,Cajamarca
Oreopanax raimondii,La Libertad
Oreopanax sandianus,Puno
Oreopanax stenodactylus,Ayacucho
Oreopanax urubambanus,Cusco
Oreopanax weberbaueri,Puno
Oreopanax williamsii,San Martín
Schefflera cainarachiensis,San Martín
Schefflera euryphylla,Junín
Schefflera mathewsii,Amazonas
Schefflera mathewsii,Cajamarca
Schefflera monzonensis,Huánuco
Schefflera pardoana,Amazonas
Schefflera pardoana,Junín
Schefflera peruviana,San Martín
Astrocaryum carnosum,San Martín
Astrocaryum huicungo,San Martín
Astrocaryum huicungo,Loreto
Astrocaryum perangustatum,Pasco
Astrocaryum scopatum,Amazonas
Ceroxylon pityrophyllum,Cajamarca
Ceroxylon pityrophyllum,Puno
Chelyocarpus repens,Loreto
Euterpe luminosa,Pasco
Geonoma trigona,Amazonas
Geonoma trigona,Huánuco
Geonoma trigona,Pasco
Hyospathe peruviana,Huánuco
Hyospathe peruviana,Loreto
Hyospathe peruviana,San Martín
Aristolochia barbourii,Madre de Dios
Aristolochia bicolor,Loreto
Aristolochia chachapoyensis,Amazonas
Aristolochia chachapoyensis,Cajamarca
Aristolochia chachapoyensis,La Libertad
Aristolochia killipiana,Cusco
Aristolochia physodes,Junín
